-BEGIN HEADER-,,,,
NASA/POWER Source Native Resolution Hourly Data ,,,,
Dates (month/day/year): 01/01/2025 through 12/30/2025 in UTC,,,,
Location: Latitude  0.35   Longitude 32.5622 ,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1146.83 meters,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,
Parameter(s): ,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) ,,,,
-END HEADER-,,,,
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2025,1,1,0,0
2025,1,1,1,0
2025,1,1,2,0
2025,1,1,3,0
2025,1,1,4,0
2025,1,1,5,0
2025,1,1,6,0
2025,1,1,7,72.15
2025,1,1,8,264.52
2025,1,1,9,486.2
2025,1,1,10,658.83
2025,1,1,11,834.75
2025,1,1,12,874.12
2025,1,1,13,791.65
2025,1,1,14,440
2025,1,1,15,384.3
2025,1,1,16,269.9
2025,1,1,17,130.43
2025,1,1,18,28.45
2025,1,1,19,0
2025,1,1,20,0
2025,1,1,21,0
2025,1,1,22,0
2025,1,1,23,0
2025,1,2,0,0
2025,1,2,1,0
2025,1,2,2,0
2025,1,2,3,0
2025,1,2,4,0
2025,1,2,5,0
2025,1,2,6,0
2025,1,2,7,93.43
2025,1,2,8,333.27
2025,1,2,9,574.17
2025,1,2,10,768.5
2025,1,2,11,883.92
2025,1,2,12,878.28
2025,1,2,13,785.55
2025,1,2,14,632.35
2025,1,2,15,449.75
2025,1,2,16,323.95
2025,1,2,17,169.12
2025,1,2,18,37.05
2025,1,2,19,0
2025,1,2,20,0
2025,1,2,21,0
2025,1,2,22,0
2025,1,2,23,0
2025,1,3,0,0
2025,1,3,1,0
2025,1,3,2,0
2025,1,3,3,0
2025,1,3,4,0
2025,1,3,5,0
2025,1,3,6,0
2025,1,3,7,85.53
2025,1,3,8,318.1
2025,1,3,9,552.5
2025,1,3,10,756.3
2025,1,3,11,879.1
2025,1,3,12,935.35
2025,1,3,13,730.3
2025,1,3,14,708.88
2025,1,3,15,561.3
2025,1,3,16,382.12
2025,1,3,17,206.73
2025,1,3,18,46.2
2025,1,3,19,0
2025,1,3,20,0
2025,1,3,21,0
2025,1,3,22,0
2025,1,3,23,0
2025,1,4,0,0
2025,1,4,1,0
2025,1,4,2,0
2025,1,4,3,0
2025,1,4,4,0
2025,1,4,5,0
2025,1,4,6,0
2025,1,4,7,74.32
2025,1,4,8,293.52
2025,1,4,9,528.42
2025,1,4,10,748.9
2025,1,4,11,882.85
2025,1,4,12,924.72
2025,1,4,13,830.6
2025,1,4,14,648.67
2025,1,4,15,426.6
2025,1,4,16,325.7
2025,1,4,17,188.23
2025,1,4,18,47.75
2025,1,4,19,0
2025,1,4,20,0
2025,1,4,21,0
2025,1,4,22,0
2025,1,4,23,0
2025,1,5,0,0
2025,1,5,1,0
2025,1,5,2,0
2025,1,5,3,0
2025,1,5,4,0
2025,1,5,5,0
